ID,StartTimeToronto,EndTimeToronto,CompletionCode,Bonus
1.70233E+12,11-12-2023 17:24,11-12-2023 17:30,raIAomtsEpb_4PqQmpsVm,0.75
1.70233E+12,11-12-2023 17:24,11-12-2023 17:31,0Yj1dz0MuB4jRtR93-VOt,1
1.70233E+12,11-12-2023 17:27,11-12-2023 17:37,cT5KVQmcebQNzBbCixuDv,0.4
1.70233E+12,11-12-2023 17:24,11-12-2023 17:29,GLoJ3iAGrgxVVoSYAKFUF,0.94
1.70233E+12,11-12-2023 17:25,11-12-2023 17:37,v0_Y4koNPOGjQDE8bqL_e,0.64
1.70233E+12,11-12-2023 17:25,11-12-2023 17:28,CV5zAR9qKMDI6OMdRm4jT,0.83
1.70233E+12,11-12-2023 17:25,11-12-2023 17:34,5q8YTIyB7tWndA36bMMB2,0.98
1.70233E+12,11-12-2023 17:25,11-12-2023 17:30,GeSUAe8utksImBpCS4WvK,0.9
1.70233E+12,11-12-2023 17:26,11-12-2023 17:34,99YBPVKC7rZo0fPswouFV,0.66
1.70233E+12,11-12-2023 17:28,11-12-2023 17:40,f_ZQ866aHPvg3enwf5TN2,1
1.70233E+12,11-12-2023 17:27,11-12-2023 17:40,n0UjeFrL-xyoEMlL63rDn,0
1.70233E+12,11-12-2023 17:28,11-12-2023 17:41,YJoY7yFdxc0NxnLs1I0rl,0.92
1.70233E+12,11-12-2023 17:27,11-12-2023 17:30,WUJ9DIiJ2D6uU3zcj8aF2,0.85
1.70233E+12,11-12-2023 17:29,11-12-2023 17:42,vJC2bk4SikmbMrFSwk2Zs,0.96
1.70233E+12,11-12-2023 17:28,11-12-2023 17:36,sNnsWJ0xYcq49S9R5PERj,0.23
1.70233E+12,11-12-2023 17:31,11-12-2023 17:35,rDA8MQWxt0-pwmvjQSf5Q,0.65
1.70233E+12,11-12-2023 17:29,11-12-2023 17:33,YHQPYWKmS5rG6cfX7u9Em,0.79
1.70233E+12,11-12-2023 17:30,11-12-2023 17:42,QbXWJz6oy6y50UQIklz9i,1
1.70233E+12,11-12-2023 17:30,11-12-2023 17:42,y7C-LTz3SNDjjA51zzWrL,0.77
1.70233E+12,11-12-2023 17:30,11-12-2023 17:35,dO4_EmEXsuO_f40SA0OzN,0.78
1.70233E+12,11-12-2023 17:30,11-12-2023 17:36,ZtJe7Uuepo3Xx4kWWxbK1,0.71
1.70233E+12,11-12-2023 17:30,11-12-2023 17:48,YPX63m9eGbAuL91hYL0RK,0
1.70233E+12,11-12-2023 17:31,11-12-2023 17:36,Kj4qX9vX9uSqL0z-SaxHj,0.75
1.70233E+12,11-12-2023 17:31,11-12-2023 17:34,oXwGDxtZXJ7cc_2OoX1EO,0.7
1.70233E+12,11-12-2023 17:31,11-12-2023 17:45,Mhs3QxZAB0W_EYCk2jDQX,0.25
1.70233E+12,11-12-2023 17:37,11-12-2023 17:40,8dODYCmqI4JvQBW40Gzf1,0.73
1.70233E+12,11-12-2023 17:32,11-12-2023 17:42,X0nAZAlQkR1hvm8N8Du--,1
1.70233E+12,11-12-2023 17:38,11-12-2023 17:42,ZQyH1k909kkhOzyFOmnAM,0.97
1.70233E+12,11-12-2023 17:33,11-12-2023 17:44,orRicPsW6NExocTl_lx3m,0.56
1.70233E+12,11-12-2023 17:41,11-12-2023 18:11,WQhlmlJlhL7tFJjI1IhAq,0.33
1.70233E+12,11-12-2023 17:51,11-12-2023 18:03,fF8XUMMJcbfBGIYImDA-5,0.68
1.70233E+12,11-12-2023 17:35,11-12-2023 17:52,p9mv_rL_HOqmldCCCdVCO,0.82
1.70233E+12,11-12-2023 17:36,11-12-2023 17:50,c-NXGAsxLXU4xTE7C-3_k,0.9
1.70233E+12,11-12-2023 17:36,11-12-2023 17:47,4krv5Fmhk7wToSUbZLC1F,0.93
1.70233E+12,11-12-2023 17:38,11-12-2023 17:46,ZPM4lC2kVBD6Ind20KMnA,1
1.70233E+12,11-12-2023 17:40,11-12-2023 17:48,#NAME?,0.86
1.70233E+12,11-12-2023 17:40,11-12-2023 17:58,r8DYfIFyJd1SFzgavKktN,0.87
1.70233E+12,11-12-2023 17:42,11-12-2023 17:50,LNwNraGv15dZAHau7ULZj,0.74
1.70233E+12,11-12-2023 17:42,11-12-2023 17:57,sPZHRCDhTFr7beVZe3xMZ,0.66
1.70233E+12,11-12-2023 17:42,11-12-2023 17:47,pJmmvcVwXwlnl01cDZk5Y,0.97
1.70233E+12,11-12-2023 17:43,11-12-2023 18:12,tHXCAAA7X2UaZehlXPzRl,0.71
1.70233E+12,11-12-2023 17:43,11-12-2023 17:58,PV3mWC3c_bYW9mKw0Pays,0.28
1.70233E+12,11-12-2023 17:47,11-12-2023 17:52,zNcErOtXnWWqa0K3ywHK8,0.82
1.70233E+12,11-12-2023 17:47,11-12-2023 17:58,O0FaAsLT8z5xSUMyv2vTt,1
1.70233E+12,11-12-2023 17:48,11-12-2023 18:00,pPUxYYGIqJ3Rz38f2Q8ZL,1
1.70233E+12,11-12-2023 17:54,11-12-2023 18:05,iN08CVxIxiFPP-wWluM0e,0.58
1.70233E+12,11-12-2023 17:49,11-12-2023 18:02,bUnl3I5RylsmEh4IyuQbP,1
1.70233E+12,11-12-2023 17:49,11-12-2023 17:57,fj0bLQyIJ2ffARQXF5MUn,1
1.70233E+12,11-12-2023 17:50,11-12-2023 18:01,rnBqG4DZfnOpHZQCSo_eK,0.78
1.70233E+12,11-12-2023 17:50,11-12-2023 17:56,RcgxvbxQeurMdFsUOQeFp,1
1.70234E+12,11-12-2023 17:50,11-12-2023 18:21,v-ceZPJue1GoFYsH8J1Ci,0.76
1.70234E+12,11-12-2023 17:51,11-12-2023 17:55,khg-s3b2F_SBv701adnoD,1
1.70234E+12,11-12-2023 17:52,11-12-2023 18:05,DGXLNTonCJKbx_wumZ1FI,1
1.70234E+12,11-12-2023 17:53,11-12-2023 18:04,31VT6j4kgFGgpeoUrz4gH,0.57
1.70234E+12,11-12-2023 17:53,11-12-2023 18:01,s4v0de6msEzU5tgE_JGmo,0.88
1.70234E+12,11-12-2023 17:53,11-12-2023 18:00,9oDHS_rJZXa6KBeC5EFis,0.29
1.70234E+12,11-12-2023 17:54,11-12-2023 17:57,STSQ7gikikgdv_IoBXRhS,0.79
1.70234E+12,11-12-2023 17:55,11-12-2023 18:06,5zf9lNF9axXhXmty51vPX,0.89
1.70234E+12,11-12-2023 17:54,11-12-2023 18:15,LO6Fo6QPitnnflp-qAFGT,0.93
1.70234E+12,11-12-2023 17:55,11-12-2023 18:01,TDhmt3GUnjvVTPeTNMEXw,0.56
1.70234E+12,11-12-2023 17:55,11-12-2023 17:57,62xZ0JAZ2DLJHyYVweS9J,0.71
1.70234E+12,11-12-2023 17:56,11-12-2023 18:09,u0HRkOFPsfS1JjNO0G1mx,0.77
1.70234E+12,11-12-2023 17:55,11-12-2023 18:04,HfEnN2j7li0GnayntasoV,0.99
1.70234E+12,11-12-2023 17:56,11-12-2023 18:04,CLrYJ1qcA9GqvidTYXNh4,1
1.70234E+12,11-12-2023 17:57,11-12-2023 18:08,EiOTltTZLkL2gDfi16lNB,0.22
1.70234E+12,11-12-2023 18:00,11-12-2023 18:07,cRmD9tFayiyIL3td9Qpdn,0.81
1.70234E+12,11-12-2023 18:01,11-12-2023 18:03,1T1UuDXDxZ4vkLCn_GA8X,0.47
1.70234E+12,11-12-2023 18:04,11-12-2023 18:13,pKGqcvZ3_c8yy752rzMs8,1
1.70234E+12,11-12-2023 18:05,11-12-2023 18:08,abqOUS92KRuLO8vD8sCWu,0.16
1.70234E+12,11-12-2023 18:08,11-12-2023 18:15,y7nCL5YdFPWUUBCt6YyA6,0.76
1.70234E+12,11-12-2023 18:09,11-12-2023 18:17,W_iNwViZZolxIFsU1PKCg,0.88
1.70234E+12,11-12-2023 18:12,11-12-2023 18:25,Ryv-2X7IsIy1is3yd-mJY,0.96
1.70234E+12,11-12-2023 18:13,11-12-2023 18:25,3K9V_UaOZnPN2w7Cb8gjG,0.95
1.70234E+12,11-12-2023 18:14,11-12-2023 18:34,lJPWO54drpEtj3-THLttN,0.25
1.70234E+12,11-12-2023 18:14,11-12-2023 18:22,#NAME?,0.77
1.70234E+12,11-12-2023 18:14,11-12-2023 18:25,pmhpLbxwADfam-_fy8ass,0.85
